"","finish","rider","number","lap","time","behind","place","year","round","moto","track","date","race_id","class","type","points"
"1",1,"JESS PETTISSaint-Alphonse-de-gr, QC","1",1,60,0,1,2025,1,1,"Wild Rose MX",2025-06-01,"450_2025_1","450","mx",25
"2",1,"JESS PETTISSaint-Alphonse-de-gr, QC","1",2,136.347,0,1,2025,1,1,"Wild Rose MX",2025-06-01,"450_2025_1","450","mx",25
"3",1,"JESS PETTISSaint-Alphonse-de-gr, QC","1",3,135.779,0,1,2025,1,1,"Wild Rose MX",2025-06-01,"450_2025_1","450","mx",25
"4",1,"JESS PETTISSaint-Alphonse-de-gr, QC","1",4,135.509,0,1,2025,1,1,"Wild Rose MX",2025-06-01,"450_2025_1","450","mx",25
"5",1,"JESS PETTISSaint-Alphonse-de-gr, QC","1",5,135.672,0,1,2025,1,1,"Wild Rose MX",2025-06-01,"450_2025_1","450","mx",25
"6",1,"JESS PETTISSaint-Alphonse-de-gr, QC","1",6,135.382,0,1,2025,1,1,"Wild Rose MX",2025-06-01,"450_2025_1","450","mx",25
"7",1,"JESS PETTISSaint-Alphonse-de-gr, QC","1",7,135.424,0,1,2025,1,1,"Wild Rose MX",2025-06-01,"450_2025_1","450","mx",25
"8",1,"JESS PETTISSaint-Alphonse-de-gr, QC","1",8,134.445,0,1,2025,1,1,"Wild Rose MX",2025-06-01,"450_2025_1","450","mx",25
"9",1,"JESS PETTISSaint-Alphonse-de-gr, QC","1",9,133.483,0,1,2025,1,1,"Wild Rose MX",2025-06-01,"450_2025_1","450","mx",25
"10",1,"JESS PETTISSaint-Alphonse-de-gr, QC","1",10,134.276,0,1,2025,1,1,"Wild Rose MX",2025-06-01,"450_2025_1","450","mx",25
"11",1,"JESS PETTISSaint-Alphonse-de-gr, QC","1",11,134.868,0,1,2025,1,1,"Wild Rose MX",2025-06-01,"450_2025_1","450","mx",25
"12",1,"JESS PETTISSaint-Alphonse-de-gr, QC","1",12,132.771,0,1,2025,1,1,"Wild Rose MX",2025-06-01,"450_2025_1","450","mx",25
"13",1,"JESS PETTISSaint-Alphonse-de-gr, QC","1",13,133.742,0,1,2025,1,1,"Wild Rose MX",2025-06-01,"450_2025_1","450","mx",25
"14",1,"JESS PETTISSaint-Alphonse-de-gr, QC","1",14,133.545,0,1,2025,1,1,"Wild Rose MX",2025-06-01,"450_2025_1","450","mx",25
"15",1,"JESS PETTISSaint-Alphonse-de-gr, QC","1",15,133.931,0,1,2025,1,1,"Wild Rose MX",2025-06-01,"450_2025_1","450","mx",25
