"name","number","location"
"DYLAN ADAMS","#619","Gaspe, QC"
"TAVIS ALEXANDER","#826","Calgary, AB"
"JARED ALLISON","#102","RedDeerCounty, AB"
"QUINN AMYOTTE","#14","Blackstock, ON"
"ASHLEY ARDIZONI","#841","SOUTHWICK,"
"JAMIE ASTUDILLO","#1","Gilbertsville, PA"
"CALI AUSTAD","#97","RockyMountainHouse, AB"
"NATHAN AYLES","#99","ELGIN, NB"
"JENNY BAILLARGEON","#109","Saint-charles-borrom, QC"
"JOSH BALDWIN","#164",", ON"
"JUSTIN BARNHART","#767","NiagaraFalls, ON"
"ANDREW BARROS","#245","Lincoln, CA"
"EVAN BASTEDO","#81","Dundas, ON"
"ROBERT BAXTER","#118","Abbotsford, BR"
"MIKAILA BEACH","#121","PETERSBURG, ON"
"SAMANTHA BEAMISH","#401","Milton, ON"
"COLTEN BEATTIE","#801","Edgerton, AB"
"XAVIER BEAULIEU","#71","SaintMarcsurRichelie, QC"
"BRAXTON BECKER","#65","RedDeer, AB"
"JUSTIN BEGG","#421","Halifax, NO"
"PEYTON BELISLE","#93","smithers, BR"
"MADDEN BELL","#402","RedDeerCounty, AB"
"JEREMY BELLEFROID","#224","DUNDEE,"
"DAKOTA BENDER","#397","Winchester, CA"
"JULIEN BENEK","#17","Mission, BR"
"MICHAEL BENNETT","#169","lansdowne, ON"
"KAREL BENOIT","#733","Saint-Ferdinand, QC"
"KAVEN BENOIT","#1","ste-perpetue, QC"
"JONATHAN BERGERON","#226","Cumberland, ON"
"LIAM BERGERON","#308","Calgary, AB"
"JOSH BOAZ","#233","Eagan, MN"
"LINDSEY BRADLEY","#75","BlackstockONT, ON"
"LINDSEY BRADLEY","#75","Otonabee, On"
"MICHAEL BRADLEY","#41","Framingham, MA"
"BLAKE BRANSFIELD","#69","Miramichi, NE"
"JORRDYN BRENNAN","#267","Okotoks, AB"
"AZALIE BRINDAMOUR","#455",", QC"
"ANTOINE BRODEUR","#328","st-constant, QC"
"EVE BRODEUR","#1w","Laval, QC"
"GAVIN BROUGH","#31","Mesquite, NV"
"RILEY BROUGH","#60","Mesquite, NV"
"JEFF BROWN","#124","Algonquinhighlands, ON"
"KILLYANN BRULE","#71","Terrebonne, QC"
"PAYTON BRUVOLD","#84","LANGLEY, BC"
"FRANK BURNS","#899","Scottsville, NE"
"GAVIN BURNS","#102","Scottsville, NE"
"CHARLIE BUTEAU","#201","SAINT-HENRI DE LEVIS,"
"MEGAN BYROM","#17","Pontypool, ON"
"TRAVIS BYROM","#199","Pontypool, ON"
"JOSH CARTWRIGHT","#519","FortWorth, TX"
"CHANNING CARVER","#234","Bridgewater, NO"
"CAMERON CAVANAGH","#66","Winchester, ON"
"JULIAN CERNY","#117","Calgary, AB"
"NOAH CHAMBERS","#661","Oxford, PA"
"CHARLES CHARLTON","#574","Kamloops, BR"
"JOSH CLARK","#32","Uncasville, CT"
"TYSON CLARK","#722",","
"HANNAH COLE","#10","COOKSBROOK, NO"
"CHAZ COLLINS","#168","DraytonValley, AB"
"NICK COLLINS","#711","Calgary, AB"
"MICHAEL COMTOIS","#347","Victoriaville, QC"
"RICKY CONWAY","#451","Gorrie, ON"
"LOUIS-PHILIPPE CORDEAU","#215","Saint-Valerien-de-Mi, QC"
"NATE CORMIER","#517","MONCTON, NB"
"DAKOTA CORNWELL","#30","CAMBELLCROFT,"
"ZAKARY CORRIVEAU","#10",","
"CHARLI COSSETTE","#277","Saint-Mathieu-du-Par, QC"
"BRODY CRAIG","#152","Cookstown, ON"
"BLAZE CREMALDI","#366","Rochester, NE"
"AMELIE CROTEAU","#5","saintnorbertdarthaba, ON"
"SETH CROTTY","#318","Vancouver, WA"
"JOEY CROWN","#355","Metamora, MI"
"LUCAS CULBERT-CASTELO","#39","Uxbridge, ON"
"JORDAN CULL","#702","cornerbrook, NE"
"AUSTIN CULP","#119","Cayuga, ON"
"KALE CUTHBERTSON","#121","RockyViewCounty, AB"
"STEPHEN CZARNOTA","#368","Derry, NE"
"TOMMY DALLAIRE","#48","Laterriere, QC"
"EASTON DALZIEL","#310","Lantz, NO"
"TRISTAN DARES","#225","ROCKWOOD, ON"
"TRISTAN DARES","#225","Rockwood, ON"
"CHRISTOPHER DASILVA","#118","saintjeansurrichelie, QC"
"MICHAEL DASILVA","#117","stjeansurrichelieu, QC"
"BLAKE DAVIES","#34","Mission, BR"
"JARET DEFAZIO","#174","SAINTJOHN, NE"
"JACOB DEHAAN","#23X","Okotoks, AB"
"SPENCER DELEYE","#155",", QC"
"TRAVIS DELNICKI","#248","WoodstockValley, CT"
"JEREMY DENIS","#415","st-leonarddeportneuf, QC"
"JAKE DENNISON","#87","Cobden, ON"
"RYAN DERRY","#65","Thornhill, ON"
"ADRIEN DESMARAIS","#21","Niverville, MB"
"THOMAS DIDIER","#7","Amqui, QC"
"CORENTIN DIETZ","#975","Hudson, QC"
"CRAYDEN DILLON","#50","Zephyr, ON"
"VICTORIA DILLON","#609","zephyr, ON"
"CODY DIXON","#69",","
"CODY DIXON","#69","NorthBattleford, SK"
"MATTHEW DOAN","#132","Hillsdale, ON"
"LIAM DODDS","#58","Revelstoke, BR"
"TATE DORSEY","#114","CarletonPlace, ON"
"LINSEY DOYON","#21","St-Lin-Laurentides, QC"
"CONNOR DRYSDALE","#22","Moncton, NE"
"JAKE DRYSDSLE","#511","Notre-Dame, NE"
"ALEXY DUBE","#41","QUEBEC, QC"
"CAMERON DUFAULT","#241","Pelham, NE"
"LEHI DUMMAR","#103","REXBURG, ID"
"TEANCUM DUMMAR","#817","Rexburg, ID"
"HAYDEN DUNSER","#170","Saskatoon, SK"
"HAYDEN DUPUIS","#213","Calgary, AB"
"MARCUS DUREEN","#910","Rothesay, NE"
"PARKER EALES","#18","MapleRidge, BR"
"JACOB EDISON","#336","LincolnPark, MI"
"BRAYDEN EHLERMANN","#809","Westtown, NE"
"DANIEL ELMORE","#377","Telkwa, BR"
"ADDISON EMORYIV","#538","Kinston, NO"
"KILE EPPERSON","#349","Camas, WA"
"COLTON FACCIOTTI","#145","Springfield, ON"
"MICHAEL FAGAN","#215","Paradise, NE"
"EVELYNE FALLE","#98","Rawdon, QC"
"ANI FERGUSON","#11","lledeschenes, MB"
"KATRINE FERGUSON","#4","IledesChenes, MB"
"TEA FERGUSON","#8","IledesChenes, MB"
"VINCENT FORTIN","#128","Granby, QC"
"LAWRENCE FORTINIII","#375","Tolland, CT"
"RYLAN FOSTER","#405","Picton, ON"
"CALLUM FRASER","#224","DutchSettlement, NO"
"JACOB FREDERICKSON","#120","Reddeercounty, AB"
"THEO GAGNON","#923",","
"OWEN GARDNER","#296","IdahoFalls, ID"
"ALEX GATT","#74","Penticton, BR"
"ADAM GAUTHIER","#138","Chapleau, ON"
"KIM GAUTHIER","#97","St-Gedeon, QC"
"WILLIAM GAUTHIER","#346","Shawinigan, ON"
"SAM GAYNOR","#28","Flesherton, ON"
"EASTON GENEST","#117","Saskatoon, SK"
"TEREN GERBER","#482","Calgary, AB"
"NATHAN GERMAIN","#46","Stoneham, QC"
"TYLER GIBBS","#22","Abbotsford, BR"
"THOR GIESBRECHT","#154","Aylmer, ON"
"JAXON GILL","#247","Hanwell, NE"
"THALY GIRARD","#14","Lepiphanie, QC"
"JEROME GODBOUT","#177","Saint-Calixte, QC"
"JESSE GODFREY","#128","Grantsville, WE"
"KYLE GONZALEZ","#435","Croswell, MI"
"CRUZ GORDON","#55","Fortstjohn, BR"
"RAPHAEL GOSSELIN","#188","Saint-Leonard-de-Por, QC"
"ALEXANDRE GOUGEON","#886","st-lin-laurentides, QC"
"BRANDON GOURLAY","#327","beachburg, ON"
"MADYSON GRALEWICZ","#66","Rockland, ON"
"BOBBY GRAVEL","#700","FAUQUIER, ON"
"DAWSON GRAVELLE","#819","LouisCreek, BR"
"CODY GROVES","#315","GOLDSBOROR,"
"MICAH GRUBBS","#323","Chardon, OH"
"ALEK GUADAGNO","#427","Lc-Brome, QC"
"IZACK GUADAGNO","#90","Lac-Brome, QC"
"NOAH GUERTIM","#147","STE ANGELE DE MONNIO,"
"AIDEN GUIMOND","#233","MazerolleSettlement, NE"
"CALEB HALL","#561","Oswego, NE"
"HAYDEN HALSTEAD","#610","Waterford, ON"
"AUSTIN HAMBURGUR","#532","Hatley, WI"
"DEREK HAMM","#136","Ridgetown, ON"
"MEGAN HAMM","#86","OakBluff, MB"
"WYATT HANKINS","#16","Mission, BR"
"TALAN HANSEN","#328","Kingsford, MI"
"JAMES HARRINGTON","#59","Hanover, MA"
"MATTHEW HARROD","#171","Belleville, ON"
"ERIK HARVEY","#143","FortStJohn, BR"
"WYATT HASIL","#94","Langdon, AB"
"EVAN HAY","#37","ALHAMBRA, AB"
"YANNICK HEBERT","#748","Saint-Lambert-de-Lau, QC"
"JAYCE HEIGHTON","#10","Kemptown, NO"
"LEXI HELGASON","#76","LakeEcho, NO"
"ISAAC HENDERSON","#345","StAugustine, FL"
"JAMES HENSHAW","#763","Hamilton, NE"
"COLT HOBBS","#45","Ashton, ON"
"CHRIS HOLLAND","#764","Dunnvillr, ON"
"NIKO HOLMES","#212","Chatham, ON"
"CHAD HOPSON","#122","BerryMills, NE"
"CHRISTIAN HOPSON","#155","BerryMills, NE"
"COLIN HOPSON","#55","BerryMills, NE"
"SCOTT HOUGH","#250","Hammond, ON"
"CADE HOUK","#14","Calgary, AB"
"SETH HUGHES","#132",", ON"
"BRYANT HUMISTON","#88","Rocksprings, WY"
"LANDON HUNT","#387","SaultSteMarie, ON"
"NICHOLAS INMAN","#55","Chillicothe, IL"
"MATTHEW JACKSON","#630","COLUMBIACROSSROADS, PA"
"JEFFREYJ JACOBS","#511","Enfield, CT"
"DARYL JAEGER","#172","Edmonton, AB"
"HAYDEN JAMESON","#147","Woodstock, ON"
"ETIENNE JOBIDON","#302",","
"BROOKE JOHNSON","#121","UpperBrookside, NO"
"HUDSON JOHNSONM","#828",","
"CHARLIE JOHNSTON","#125","Calgary, AB"
"HUDSON JUBB","#24","Deadmansflats, AB"
"EMERSON JUDGE","#228","Thorndale, ON"
"KAYLIE KAYER","#3","Savona, BR"
"BRANDON KEENE","#105","Plympton, MA"
"COLE KELLY","#631","Greenwood, BR"
"KAYDEN KERR","#923","Wainwright, AB"
"WYATT KERR","#64",", ON"
"JAMES KILPATRICK","#147","PETAWAWA, ON"
"PRESTON KILROY","#1","Afton, WY"
"SARAH KIM","#241",","
"AUSTIN KING","#946","LewisLake, NO"
"TYLER KIRBY","#13","Hawkesbury, ON"
"JESSE KIRCHMEYER","#421","Arcade, NE"
"KAES KNIGHTS","#550","Bewdley, ON"
"NATHAN KNOX","#211","RockyView, AB"
"KIANA KURTZ","#94","Ariss, ON"
"JEREMY LABONTE","#14","ThetfordMines, ON"
"JASMIN LACLARE","#19","Maidstone, SK"
"JAYDEN LACOMBE","#28","SAINT-CESAIRE, QC"
"LUCAS LAFONTAINE","#16","QUEBEC, QC"
"ZACHARY LAHMAN","#252","Martinsburg, WE"
"MATHILDE LAMBERT","#198","Lavaltrie, QC"
"BRODIE LANGILL","#746","Pugwash, NO"
"TJ LANPHEAR","#507","Preston, CT"
"NATHEN LAPORTE","#139","Oshkosh, WI"
"NOAH LARKIN","#716","Innisfil, ON"
"LOIK LAURIN","#222",","
"NICHOLAS LAVALLE","#214",","
"MARC-HUGO LAVOIE","#247","LIslet, QC"
"HARLEY LAWSON","#250","Calgary, AB"
"REESE LAWSON","#910","Calgary, AB"
"ANTHONY LEBEL","#515","Nicolet, QC"
"ANTHONY LEBEL","#515a","QUEBEC, QC"
"DAVID LEDUC","#110","ST-EUGENE, ON"
"EMERIC LEGENDRE","#144","Boucherville, QC"
"JADON LEHTONEN","#828","Tiny, ON"
"MAELIE LEMIEUX","#77","Boisbriand, QC"
"JOSH LEMIRE","#137","WASAGA BEACH, ON"
"NICHOLAS LEMIRE","#381","Timmins, ON"
"DYLAN LESSARD","#123","Saint-Severin, QC"
"JOSH LONG","#792","Brantford, ON"
"JERRY LORENZ","#42","Morrice, MI"
"TYLER LOUD","#655","Catskill, NE"
"CASS LOUTITT","#761","Calgary, AB"
"TYLER LOWE","#86","MenomoneeFalls, WI"
"JASON LUTTON","#354","Whisperingpines, NO"
"CALEB MACDONALD","#11","RIVERVIEW, NB"
"JAMIESON MACDONALD","#161","Grafton, ON"
"MARSHALL MACINTYRE","#802","Southwick, ON"
"CODY MACLEOD","#357",", QC"
"DUNCAN MACLEOD","#411","Portfranks, ON"
"LOGAN MACLEOD","#257",", QC"
"JAKE MADDICKS","#422","Kelowna, BR"
"CARSON MAINQUIST","#191","HASLET, TX"
"BRITTANI MAJCHER","#6","Preston, CT"
"ADRIEN MALAVAL","#131","capbreton, FR"
"RYDER MALINOSKI","#981","Wyoming, MN"
"SHAWN MARINOFF","#981","Bracebridge, ON"
"IZAAC MARTEL","#418",","
