name,number,location,manufacturer,updated_location,round
DYLAN ADAMS,#619,"Gaspe, QC",Kawasaki,Quebec,
JARED ALLISON,#102,"RedDeerCounty, AB",Honda,Alberta,
QUINN AMYOTTE,#14,"Blackstock, ON",KTM,Ontario,
ASHLEY ARDIZONI,#841,"SOUTHWICK,",Kawasaki,Massachusetts,
JAMIE ASTUDILLO,#1,"Gilbertsville, PA",KTM,Pennsylvania,
CALI AUSTAD,#97,"RockyMountainHouse, AB",Husqvarna,Alberta,
NATHAN AYLES,#99,"ELGIN, NB",Husqvarna,New Brunswick,
JENNY BAILLARGEON,#109,"Saint-charles-borrom, QC",Yamaha,Quebec,
JOSH BALDWIN,#164,", ON",Yamaha,Ontario,
JUSTIN BARNHART,#767,"NiagaraFalls, ON",KTM,Ontario,
ANDREW BARROS,#245,"Lincoln, CA",Honda,California,
MIKAILA BEACH,#121,"PETERSBURG, ON",KTM,Ontario,
SAMANTHA BEAMISH,#401,"Milton, ON",Yamaha,Ontario,
COLTEN BEATTIE,#801,"Edgerton, AB",Kawasaki,Alberta,
PEYTON BELISLE,#93,"smithers, BR",Honda,British Columbia,
DAKOTA BENDER,#397,"Winchester, CA",Yamaha,California,
JULIEN BENEK,#17,"Mission, BR",Triumph,British Columbia,
KAREL BENOIT,#733,"Saint-Ferdinand, QC",KTM,Quebec,
KAVEN BENOIT,#1,"ste-perpetue, QC",KTM,Quebec,
JOSH BOAZ,#233,"Eagan, MN",KTM,Minnesota,
LINDSEY BRADLEY,#75,"Otonabee, On",Husqvarna,Ontario,
JORRDYN BRENNAN,#267,"Okotoks, AB",KTM,Alberta,
AZALIE BRINDAMOUR,#455,", QC",KTM,Quebec,
EVE BRODEUR,#1w,"Laval, QC",KTM,Quebec,
GAVIN BROUGH,#31,"Mesquite, NV",Honda,Nevada,
RILEY BROUGH,#60,"Mesquite, NV",Kawasaki,Nevada,
KILLYANN BRULE,#71,"Terrebonne, QC",KTM,Quebec,
PAYTON BRUVOLD,#84,"LANGLEY, BC",Kawasaki,British Columbia,
CHARLIE BUTEAU,#201,"SAINT-HENRI DE LEVIS,",Yamaha,Quebec,
MEGAN BYROM,#17,"Pontypool, ON",Husqvarna,Ontario,
TRAVIS BYROM,#199,"Pontypool, ON",Yamaha,Ontario,
JOSH CARTWRIGHT,#519,"FortWorth, TX",Kawasaki,Texas,
JULIAN CERNY,#117,"Calgary, AB",KTM,Alberta,
NOAH CHAMBERS,#661,"Oxford, PA",Husqvarna,Pennsylvania,
CHARLES CHARLTON,#574,"Kamloops, BR",KTM,British Columbia,
JOSH CLARK,#32,"Uncasville, CT",Yamaha,Connecticut,
HANNAH COLE,#10,"COOKSBROOK, NO",KTM,Nova Scotia,
CHAZ COLLINS,#168,"DraytonValley, AB",Yamaha,Alberta,
NICK COLLINS,#711,"Calgary, AB",Yamaha,Alberta,
MICHAEL COMTOIS,#347,"Victoriaville, QC",Honda,Quebec,
RICKY CONWAY,#451,"Gorrie, ON",Kawasaki,Ontario,
LOUIS-PHILIPPE CORDEAU,#215,"Saint-Valerien-de-Mi, QC",Honda,Quebec,
NATE CORMIER,#517,"MONCTON, NB",Honda,New Brunswick,
DAKOTA CORNWELL,#30,"CAMBELLCROFT,",Yamaha,Ontario,
BRODY CRAIG,#152,"Cookstown, ON",Yamaha,Ontario,
BLAZE CREMALDI,#366,"Rochester, NE",KTM,New York,
AMELIE CROTEAU,#5,"saintnorbertdarthaba, ON",Honda,Ontario,
SETH CROTTY,#318,"Vancouver, WA",Yamaha,Washington,
JOEY CROWN,#355,"Metamora, MI",KTM,Michigan,
KALE CUTHBERTSON,#121,"RockyViewCounty, AB",Gas Gas,Alberta,
STEPHEN CZARNOTA,#368,"Derry, NE",Gas Gas,New Hampshire,5
STEPHEN CZARNOTA,#368,"Derry, NE",Kawasaki,New Hampshire,3
TOMMY DALLAIRE,#48,"Laterriere, QC",Yamaha,Quebec,
TRISTAN DARES,#225,"ROCKWOOD, ON",KTM,Ontario,
TRISTAN DARES,#225,"Rockwood, ON",KTM,Ontario,
CHRISTOPHER DASILVA,#118,"saintjeansurrichelie, QC",Yamaha,Quebec,
MICHAEL DASILVA,#117,"stjeansurrichelieu, QC",Kawasaki,Quebec,
BLAKE DAVIES,#34,"Mission, BR",Triumph,British Columbia,
SPENCER DELEYE,#155,", QC",Yamaha,Quebec,
TRAVIS DELNICKI,#248,"WoodstockValley, CT",Yamaha,Connecticut,
RYAN DERRY,#65,"Thornhill, ON",KTM,Ontario,
CORENTIN DIETZ,#975,"Hudson, QC",KTM,Quebec,
CRAYDEN DILLON,#50,"Zephyr, ON",KTM,Ontario,
VICTORIA DILLON,#609,"zephyr, ON",KTM,Ontario,
MATTHEW DOAN,#132,"Hillsdale, ON",Husqvarna,Ontario,
LIAM DODDS,#58,"Revelstoke, BR",Yamaha,British Columbia,
LINSEY DOYON,#21,"St-Lin-Laurentides, QC",Yamaha,Quebec,
JAKE DRYSDSLE,#511,"Notre-Dame, NE",Gas Gas,New Brunswick,
CAMERON DUFAULT,#241,"Pelham, NE",Husqvarna,New Hampshire,
LEHI DUMMAR,#103,"REXBURG, ID",Honda,Idaho,
TEANCUM DUMMAR,#817,"Rexburg, ID",Honda,Idaho,
MARCUS DUREEN,#910,"Rothesay, NE",KTM,New Brunswick,
PARKER EALES,#18,"MapleRidge, BR",Gas Gas,British Columbia,
JACOB EDISON,#336,"LincolnPark, MI",Gas Gas,Michigan,
BRAYDEN EHLERMANN,#809,"Westtown, NE",Yamaha,New York,
DANIEL ELMORE,#377,"Telkwa, BR",Husqvarna,British Columbia,
ADDISON EMORYIV,#538,"Kinston, NO",Honda,North Carolina,
KILE EPPERSON,#349,"Camas, WA",Yamaha,Washington,
COLTON FACCIOTTI,#145,"Springfield, ON",Gas Gas,Ontario,
EVELYNE FALLE,#98,"Rawdon, QC",Honda,Quebec,
ANI FERGUSON,#11,"lledeschenes, MB",Husqvarna,Manitoba,
KATRINE FERGUSON,#4,"IledesChenes, MB",Husqvarna,Manitoba,
TEA FERGUSON,#8,"IledesChenes, MB",Husqvarna,Manitoba,
LAWRENCE FORTINIII,#375,"Tolland, CT",KTM,Connecticut,
RYLAN FOSTER,#405,"Picton, ON",Husqvarna,Ontario,
JACOB FREDERICKSON,#120,"Reddeercounty, AB",Yamaha,Alberta,
OWEN GARDNER,#296,"IdahoFalls, ID",Kawasaki,Idaho,
ALEX GATT,#74,"Penticton, BR",Triumph,British Columbia,
ADAM GAUTHIER,#138,"Chapleau, ON",Yamaha,Ontario,
SAM GAYNOR,#28,"Flesherton, ON",Husqvarna,Ontario,
EASTON GENEST,#117,"Saskatoon, SK",Husqvarna,Saskatchewan,
TEREN GERBER,#482,"Calgary, AB",Yamaha,Alberta,
NATHAN GERMAIN,#46,"Stoneham, QC",KTM,Quebec,
TYLER GIBBS,#22,"Abbotsford, BR",Yamaha,British Columbia,
THOR GIESBRECHT,#154,"Aylmer, ON",Yamaha,Ontario,
THALY GIRARD,#14,"Lepiphanie, QC",Husqvarna,Quebec,
JEROME GODBOUT,#177,"Saint-Calixte, QC",Husqvarna,Quebec,
JESSE GODFREY,#128,"Grantsville, WE",Gas Gas,West Virginia,
KYLE GONZALEZ,#435,"Croswell, MI",KTM,Michigan,
RAPHAEL GOSSELIN,#188,"Saint-Leonard-de-Por, QC",Husqvarna,Quebec,
ALEXANDRE GOUGEON,#886,"st-lin-laurentides, QC",KTM,Quebec,
MADYSON GRALEWICZ,#66,"Rockland, ON",KTM,Ontario,
BOBBY GRAVEL,#700,"FAUQUIER, ON",Kawasaki,Ontario,
DAWSON GRAVELLE,#819,"LouisCreek, BR",Triumph,British Columbia,
CODY GROVES,#315,"GOLDSBOROR,",Kawasaki,North Carolina,
MICAH GRUBBS,#323,"Chardon, OH",KTM,Ohio,
ALEK GUADAGNO,#427,"Lc-Brome, QC",Yamaha,Quebec,
IZACK GUADAGNO,#90,"Lac-Brome, QC",Yamaha,Quebec,
CALEB HALL,#561,"Oswego, NE",KTM,New York,
HAYDEN HALSTEAD,#610,"Waterford, ON",Yamaha,Ontario,
AUSTIN HAMBURGUR,#532,"Hatley, WI",Kawasaki,Wisconsin,
DEREK HAMM,#136,"Ridgetown, ON",KTM,Ontario,
MEGAN HAMM,#86,"OakBluff, MB",Kawasaki,Manitoba,
TALAN HANSEN,#328,"Kingsford, MI",Triumph,Michigan,
JAMES HARRINGTON,#59,"Hanover, MA",Yamaha,Massachusetts,
MATTHEW HARROD,#171,"Belleville, ON",Yamaha,Ontario,
WYATT HASIL,#94,"Langdon, AB",Yamaha,Alberta,
LEXI HELGASON,#76,"LakeEcho, NO",Gas Gas,Nova Scota,
ISAAC HENDERSON,#345,"StAugustine, FL",KTM,Florida,
JAMES HENSHAW,#763,"Hamilton, NE",Yamaha,New Jersey,
NIKO HOLMES,#212,"Chatham, ON",KTM,Ontario,
SETH HUGHES,#132,", ON",Honda,Ontario,
BRYANT HUMISTON,#88,"Rocksprings, WY",Kawasaki,Wyoming,
