track,track_location,date,year,climate_station_id,max_temp_c,precipitation_mm,lat,lon
Wild Rose MX,"Calgary, AB",2024-06-02,2024,3031094,19.9,0,51.0456064,-114.057541
Lethbridge MX,"Lethbridge, AB",2024-06-08,2024,3033875,19.2,0,49.6945782,-112.8331033
Lethbridge MX,"Lethbridge, AB",2024-06-09,2024,3033875,21.3,0,49.6945782,-112.8331033
Prairie Hill MX,"Pilot Mound, MB",2024-06-16,2024,5022125,20.6,9.4,49.2,-98.9
Gopher Dunes,"Courtland, ON",2024-07-07,2024,6131983,27.8,0,42.8440174,-80.629735
Sand Del Lee MX101,"Ottawa, ON",2024-07-14,2024,6105976,30.5,0,45.4208777,-75.6901106
Riverglade MX,"Moncton, NB",2024-07-19,2024,8103201,28.1,0,46.0985679,-64.8004265
MX Deschambault,"Deschambault, QC",2024-07-26,2024,7011983,26.4,0,46.6492,-71.929893
Walton Raceway,"Walton, ON",2024-08-09,2024,6122847,23.3,0,43.6774951,-81.3013486
Wild Rose MX,"Calgary, AB",2025-06-01,2025,3031094,16.7,0.3,51.0456064,-114.057541
Matt Watson Raceway,"Cold Lake, AB",2025-06-07,2025,3081680,18.3,0.6,54.46046,-110.192871
Matt Watson Raceway,"Cold Lake, AB",2025-06-08,2025,3081680,21.9,0,54.46046,-110.192871
Motocross Ste-Julie,"Ste-Julie, QC",2025-06-29,2025,7027329,24,0,45.5930624,-73.3395943
Gopher Dunes,"Courtland, ON",2025-07-06,2025,6131983,33.6,0,42.8440174,-80.629735
Sand Del Lee MX101,"Ottawa, ON",2025-07-13,2025,6105976,29,12.4,45.4208777,-75.6901106
Riverglade MX,"Moncton, NB",2025-07-20,2025,8103201,19.4,11.6,46.0985679,-64.8004265
MX Deschambault,"Deschambault, QC",2025-07-27,2025,7011983,28.6,0,46.6492,-71.929893
Walton Raceway,"Walton, ON",2025-08-10,2025,6122847,32,0,43.6774951,-81.3013486
